Business Name,GBP Primary Category,GBP Subcategories,Phone Number,Website URL,Google Maps URL,Star Rating,Review Count,Price Range,Opening Hours,GBP Description,GBP Attributes,GBP Verified,Latest Review Date,Social Media Links,Google Photos Count,Full Address,Location,Borough,Postcode,Postcode District,Latitude,Longitude,Directory Slug,Cuisine Tags,Seafood Specialities,Booking Link,Menu Link,Delivery Platforms,Has Website,Has Booking,Has Delivery,Listing Status,Lead Priority
The Seafood Bar,Seafood restaurant,N/A,+44 20 4525 0733,https://www.theseafoodbar.com/,https://maps.google.com/maps?q=The+Seafood+Bar+London,4.8,12020,£££,Mon–Sun: 12–11 PM,High-end Dutch seafood restaurant in Soho serving fresh sustainable seafood.,"Dine-in, Wheelchair accessible",Yes,N/A,N/A,N/A,"77 Dean St, London W1D 3SH",Soho / West End,Westminster,W1D 3SH,W1,51.5140965,-0.1329194,/seafood-restaurants/westminster/soho-west-end/the-seafood-bar/,"Seafood Platters, Grilled Fish, Lobster, Oysters","Roast Scallop, Lobster Soup, Shrimp",https://www.theseafoodbar.com/london,https://www.theseafoodbar.com/english-menu,N/A,Yes,Yes,No,Active,LOW
Randall & Aubin,Seafood restaurant,"French restaurant, Fish and seafood restaurant",+44 20 7287 4447,http://www.randallandaubin.com/,https://maps.google.com/maps?q=Randall+Aubin+London,4.6,2142,£££,Mon–Thu: 12–10:30 PM | Fri–Sat: 12–11:30 PM | Sun: 12–9:30 PM,Seafood & Modern British cuisine in a converted Soho butcher shop.,"Dine-in, Takeaway, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"16 Brewer St, London W1F 0SQ",Soho / Carnaby,Westminster,W1F 0SQ,W1F,51.5123279,-0.1341322,/seafood-restaurants/westminster/soho-carnaby/randall-aubin/,"Seafood, French Cuisine, Oysters","Fresh fish, Oysters, Champagne bar",https://www.randallandaubin.com/,https://www.randallandaubin.com/menus/,N/A,Yes,Yes,No,Active,LOW
Manzi's,Seafood restaurant,Italian restaurant,+44 20 3540 4546,http://www.manzis.co.uk/,https://maps.google.com/maps?q=Manzis+London,4.4,446,£££,Mon: Closed | Tue: 12–9:30 PM | Wed–Thu: 12–10:45 PM | Fri–Sat: 12–11 PM | Sun: 12–5 PM,Italian-inspired seafood restaurant with stunning decor in Soho.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"1-8 Bateman's Buildings, London W1D 3EN",Soho / West End,Westminster,W1D 3EN,W1,51.514513,-0.1316217,/seafood-restaurants/westminster/soho-west-end/manzis/,"Seafood, Italian, Fish","Seafood pasta, Fresh fish",https://www.opentable.co.uk/restaurant/profile/266016,https://manzis.co.uk/menus/,N/A,Yes,Yes,No,Active,LOW
Fish Central,Seafood restaurant,Fish & chips shop,+44 20 7253 4970,https://www.fishcentral.co.uk/,https://maps.google.com/maps?q=Fish+Central+London,4.7,1175,£££,"Mon–Thu: 6 AM–3:30 PM, 5–10 PM | Fri: 6 AM–10:30 PM | Sat: 12–10:30 PM | Sun: Closed",Market-fresh fish in simple surroundings. Established neighbourhood favourite in Clerkenwell.,"Dine-in, Takeaway, Reservations, Wheelchair accessible",Yes,N/A,N/A,N/A,"149-155 Central St, King Square, London EC1V 8AP",Clerkenwell,Islington,EC1V 8AP,EC1,51.5275453,-0.0971321,/seafood-restaurants/islington/clerkenwell/fish-central/,"Fish & Chips, Seafood, Grilled Fish","Market-fresh fish, Fish & Chips",https://www.quandoo.co.uk/place/fish-central-44619,https://www.fishcentral.co.uk/,N/A,Yes,Yes,No,Active,LOW
J Sheekey,Seafood restaurant,Fish and seafood restaurant,+44 20 7240 2565,https://j-sheekey.co.uk/,https://maps.google.com/maps?q=J+Sheekey+London,4.5,2630,££££,Mon–Sat: 12–10:45 PM | Sun: 12–10 PM,Iconic London seafood restaurant open since 1896 in Covent Garden.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"28-32 St Martin's Ct, London WC2N 4AL",Covent Garden,Westminster,WC2N 4AL,WC2,51.5108994,-0.1278082,/seafood-restaurants/westminster/covent-garden/j-sheekey/,"Seafood, Oysters, Fish, British Seafood","Oysters, Lobster, Skate wing, Fish pie",https://www.opentable.co.uk/restaurant/profile/111285,https://j-sheekey.co.uk/menus/,N/A,Yes,Yes,No,Active,LOW
Scott's,Seafood restaurant,"Fish and seafood restaurant, British restaurant",+44 20 7495 7309,https://scotts-mayfair.com/,https://maps.google.com/maps?q=Scotts+Mayfair+London,4.6,2935,££££,Mon–Sun: 12 PM onwards (see website),Legendary Mayfair seafood and fish restaurant established in 1851.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"20 Mount St, London W1K 2HE",Mayfair,Westminster,W1K 2HE,W1K,51.5098953,-0.1508345,/seafood-restaurants/westminster/mayfair/scotts/,"Seafood, Lobster, Oysters, Fish, British Cuisine","Lobster, Oysters, Native seafood",https://www.opentable.co.uk/restaurant/profile/124548,https://scotts-mayfair.com/menus/,N/A,Yes,Yes,No,Active,LOW
Bentley's Oyster Bar & Grill,Seafood restaurant,"Oyster bar restaurant, Fish and seafood restaurant",+44 20 7734 4756,https://www.bentleys.org/,https://maps.google.com/maps?q=Bentleys+Oyster+Bar+London,4.5,2050,££££,Mon–Sun: 12 PM onwards (see website),"Historic oyster bar and grill in Piccadilly, established 1916.","Dine-in, Reservations, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"11-15 Swallow St, Piccadilly, London W1B 4DG",Soho / West End,Westminster,W1B 4DG,W1,51.5095467,-0.1376725,/seafood-restaurants/westminster/soho-west-end/bentleys-oyster-bar-grill/,"Oysters, Seafood, Grilled Fish, British Cuisine","Native oysters, Grilled fish, Lobster",N/A,https://www.bentleys.org/menus,N/A,Yes,No,No,Active,LOW
Wright Brothers Borough Market,Seafood restaurant,Oyster bar restaurant,+44 20 7403 9554,http://www.thewrightbrothers.co.uk/,https://maps.google.com/maps?q=Wright+Brothers+Borough+Market+London,4.4,1440,£££,Mon–Sat: 12–9:30 PM | Sun: 12–9 PM,Seafood restaurant inside Borough Market specialising in fresh oysters.,"Dine-in, Takeaway",Yes,N/A,N/A,N/A,"Borough Market, Stoney St, London SE1 9AD",Southwark / London Bridge,Southwark,SE1 9AD,SE1,51.5056055,-0.0915883,/seafood-restaurants/southwark/southwark-london-bridge/wright-brothers-borough-market/,"Oysters, Seafood, Fish, Lobster","Oysters, Seafood platters, Fresh fish",N/A,https://thewrightbrothers.co.uk/food-menu-locations/borough-market/,N/A,Yes,No,No,Active,LOW
The Oystermen Seafood Bar & Kitchen,Seafood restaurant,Oyster bar restaurant,+44 20 7240 4417,https://www.oystermen.co.uk/,https://maps.google.com/maps?q=The+Oystermen+Covent+Garden+London,4.5,1790,£££,Mon–Sat: 12–11 PM | Sun: 12–9 PM,Independent seafood bar and kitchen near Covent Garden.,"Dine-in, Takeaway",Yes,N/A,N/A,N/A,"32 Henrietta St, London WC2E 8NA",Covent Garden,Westminster,WC2E 8NA,WC2,51.5112828,-0.1235696,/seafood-restaurants/westminster/covent-garden/the-oystermen-seafood-bar-kitchen/,"Oysters, Seafood, Fish, Shellfish","Oysters, Fresh shellfish, Seafood",N/A,N/A,N/A,Yes,No,No,Active,LOW
Burger & Lobster Soho,Seafood restaurant,"American restaurant, Lobster restaurant",+44 20 7432 4800,https://www.burgerandlobster.com/,https://maps.google.com/maps?q=Burger+Lobster+Soho+London,4.6,10125,£££,Mon–Wed: 12–10 PM | Thu: 12–10:30 PM | Fri–Sat: 12–11 PM | Sun: 12–10 PM,"Diner-style eatery specialising in whole lobster, lobster rolls and burgers.","Dine-in, Delivery, Reservations, LGBTQ+ friendly, Wheelchair accessible",Yes,N/A,N/A,N/A,"36-38 Dean St, London W1D 4PS",Soho / West End,Westminster,W1D 4PS,W1,51.5135078,-0.1321987,/seafood-restaurants/westminster/soho-west-end/burger-lobster-soho/,"Lobster, Seafood, Burgers, American","Whole Lobster, Lobster Roll, Lobster Burger",https://www.opentable.co.uk/restaurant/profile/306678,https://www.burgerandlobster.com/locations/london/soho-london/soho-menu/,N/A,Yes,Yes,No,Active,LOW
Rock and Sole Plaice,Fish & chips shop,Seafood restaurant,+44 20 7836 3785,https://www.rockandsoleplaice.com/,https://maps.google.com/maps?q=Rock+and+Sole+Plaice+London,4.3,5490,££,Mon–Thu: 12–9 PM | Fri–Sat: 12–10 PM | Sun: 12–9 PM,"London's oldest fish & chips shop, established 1871 in Covent Garden.","Dine-in, Takeaway, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"47 Endell St, London WC2H 9AJ",Covent Garden,Westminster,WC2H 9AJ,WC2,51.5148151,-0.1251287,/seafood-restaurants/westminster/covent-garden/rock-and-sole-plaice/,"Fish & Chips, Seafood, British","Fish & Chips, Mushy peas, Battered cod",N/A,https://www.rockandsoleplaice.com/menu,N/A,Yes,No,No,Active,LOW
The SeaShell of Lisson Grove,Fish & chips shop,Seafood restaurant,+44 20 7224 9000,https://www.seashellrestaurant.co.uk/,https://maps.google.com/maps?q=SeaShell+Lisson+Grove+London,4.4,3498,££,Opens 12 PM daily (see website),Famous fish & chips restaurant and takeaway near Marylebone.,"Dine-in, Takeaway, Delivery, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"49-51 Lisson Grove, London NW1 6UH",Camden / Marylebone,Camden,NW1 6UH,NW1,51.5227185,-0.165802,/seafood-restaurants/camden/camden-marylebone/the-seashell-of-lisson-grove/,"Fish & Chips, Seafood","Fish & Chips, Cod, Haddock, Plaice",N/A,https://order.toasttab.com/online/seashell-of-lisson-grove-49-lisson-grove,N/A,Yes,No,No,Active,LOW
Faulkners Fish & Chips,Fish & chips shop,Seafood restaurant,+44 20 7502 1080,http://www.faulknersfishandchips.co.uk/,https://maps.google.com/maps?q=Faulkners+Fish+Chips+London,4.1,252,££,Mon–Thu: 12–10 PM | Fri–Sat: 12–11 PM | Sun: 12–10 PM,Popular fish & chips shop on Kingsland Road in Hackney/Dalston.,"Dine-in, Takeaway, Delivery, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"424-426 Kingsland Rd, London E8 4AA",Hackney / Dalston,Hackney,E8 4AA,E8,51.5420056,-0.0759631,/seafood-restaurants/hackney/hackney-dalston/faulkners-fish-chips/,"Fish & Chips, Seafood","Fish & Chips, Grilled fish",N/A,http://faulknersfishchips.grub24.co.uk/,N/A,Yes,No,No,Active,LOW
Seabird,Seafood restaurant,"Bar, European restaurant",+44 20 7903 3050,https://seabirdlondon.com/,https://maps.google.com/maps?q=Seabird+Hoxton+Southwark+London,4.4,1944,£££,Opens 12 PM daily (see website),14th-floor rooftop seafood restaurant at The Hoxton Southwark.,"Dine-in, Reservations, LGBTQ+ friendly",Yes,N/A,N/A,N/A,"14th Floor, 40 Blackfriars Rd, London SE1 8NY",Southwark / London Bridge,Southwark,SE1 8NY,SE1,51.5056667,-0.1047752,/seafood-restaurants/southwark/southwark-london-bridge/seabird/,"Seafood, Oysters, Fish, Grilled Seafood, Raw Bar","Raw bar, Seafood towers, Lobster",N/A,https://seabirdlondon.com/#menus,N/A,Yes,No,No,Active,LOW
Tom Brown at The Capital,Seafood restaurant,"British restaurant, Fine dining",+44 20 7591 1200,https://www.tombrownatthecapital.com/restaurant,https://maps.google.com/maps?q=Tom+Brown+Capital+Knightsbridge+London,4.4,214,££££,Opens 6 PM Tue–Sat (see website),"Fine dining seafood restaurant by chef Tom Brown at The Capital Hotel, Knightsbridge.","Dine-in, Reservations",Yes,N/A,N/A,N/A,"22-24 Basil St, London SW3 1AT",Chelsea,Kensington and Chelsea,SW3 1AT,SW3,51.5001747,-0.1616047,/seafood-restaurants/kensington-and-chelsea/chelsea/tom-brown-at-the-capital/,"Seafood, Fine Dining, British Seafood","Fresh seafood, Tasting menus",N/A,https://www.therestaurantatthecapitallondon.com/restaurant,N/A,Yes,No,No,Active,LOW
Oysteria,Seafood restaurant,"Oyster bar restaurant, Mediterranean restaurant",+44 20 8176 0900,https://oysteria.co.uk/,https://maps.google.com/maps?q=Oysteria+Canary+Wharf+London,4.7,1898,£££,Mon–Sun: 11:30 AM–10 PM,Seafood and oyster bar in Canary Wharf serving Mediterranean-inspired dishes.,"Dine-in, Delivery (Deliveroo), Reservations, Wheelchair accessible",Yes,N/A,N/A,N/A,"40 Bank St, Canary Wharf Estate, London E14 5NR",Canary Wharf / Isle of Dogs,Tower Hamlets,E14 5NR,E14,51.5024439,-0.0198008,/seafood-restaurants/tower-hamlets/canary-wharf-isle-of-dogs/oysteria/,"Oysters, Seafood, Mediterranean, Scallops","Oysters, Scallops, Seafood platters",https://www.opentable.co.uk/restaurant/profile/334329,https://oysteria.co.uk/a-la-carte-menu/,https://deliveroo.co.uk/menu/london/canary-wharf/oysteria,Yes,Yes,Yes,Active,LOW
Crab Lab,Seafood restaurant,"Crab house, Seafood boil",+44 20 4619 7622,http://www.crablabldn.co.uk/,https://maps.google.com/maps?q=Crab+Lab+London+NW10,4.7,721,£££,Mon: Closed | Tue–Sun: 3:30–10 PM,Crab and seafood boil restaurant specialising in fresh crab dishes in Kensal Rise.,"Dine-in, Delivery, Reservations",Yes,N/A,N/A,N/A,"8 Chamberlayne Rd, London NW10 3JD",Kensal Green,Brent,NW10 3JD,NW10,51.530364,-0.2165454,/seafood-restaurants/brent/kensal-green/crab-lab/,"Crab, Seafood Boil, Shellfish","Seafood boil, Crab dishes, Fresh crab",https://thefork.co.uk/restaurant/crab-lab-r847391,N/A,N/A,Yes,Yes,No,Active,LOW
Angry Crab Shack,Seafood restaurant,Crab house,N/A,https://angrycrabshack.co.uk/,https://maps.google.com/maps?q=Angry+Crab+Shack+Soho+London,4.5,1860,N/A,Mon–Thu: 12–9 PM | Fri–Sat: 12–9:30 PM | Sun: 12–8 PM,Cajun-style seafood boil and crab shack in Soho.,"Dine-in, Delivery, Reservations",Yes,N/A,N/A,N/A,"19a Rupert St, London W1D 7PA",Soho / West End,Westminster,W1D 7PA,W1,51.5105652,-0.1324771,/seafood-restaurants/westminster/soho-west-end/angry-crab-shack/,"Seafood Boil, Crab, Cajun, Lobster","Seafood boil, Crab, Cajun spiced shellfish",https://www.sevenrooms.com/explore/angrycrabshacksoho/,https://angrycrabshack.co.uk/19-rupert-st-london-uk/,N/A,Yes,Yes,No,Active,LOW
Soulful Seafood,Seafood restaurant,Takeout restaurant,+44 20 4538 3353,https://www.soulfulseafooduk.com/,https://maps.google.com/maps?q=Soulful+Seafood+Spitalfields+London,4.8,215,£££,Mon–Tue: Closed | Wed–Fri: 5–10 PM | Sat: 1–6 PM | Sun: 3–8 PM,"Soulful seafood boil restaurant near Spitalfields, East London.","Dine-in, Delivery",Yes,N/A,N/A,N/A,"50 Hanbury St, London E1 5JL",Whitechapel / Spitalfields,Tower Hamlets,E1 5JL,E1,51.5200825,-0.0711239,/seafood-restaurants/tower-hamlets/whitechapel-spitalfields/soulful-seafood/,"Seafood Boil, Soul Food, Crab, Shrimp","Seafood boil, Crab legs, Prawns",N/A,https://my.flipdish.com/soulfulseafooduk/order,N/A,Yes,No,No,Active,LOW
The Cajun Boil,Seafood restaurant,Cajun restaurant,+44 20 7646 3375,N/A,https://maps.google.com/maps?q=The+Cajun+Boil+Bethnal+Green+London,4.7,250,£££,Mon: 4–10 PM | Tue: Closed | Wed–Thu: 4–10 PM | Fri–Sat: 12–11 PM | Sun: 12–9 PM,Cajun seafood boil restaurant in Bethnal Green.,"Dine-in, Delivery (Deliveroo)",Yes,N/A,N/A,N/A,"185 Bethnal Grn Rd, London E2 6AB",Bethnal Green,Tower Hamlets,E2 6AB,E2,51.5260777,-0.0691119,/seafood-restaurants/tower-hamlets/bethnal-green/the-cajun-boil/,"Cajun, Seafood Boil, Crab, Shrimp","Cajun seafood boil, Crab, Lobster",N/A,N/A,https://deliveroo.co.uk/menu/london/bethnal-green/the-cajun-boil,No,No,Yes,Active,MEDIUM
Shrimp Shack Camden,Seafood restaurant,Seafood boil restaurant,+44 20 3342 7000,https://shrimpshackco.com/,https://maps.google.com/maps?q=Shrimp+Shack+Camden+London,4.7,2645,£££,Mon–Thu: 12–10 PM | Fri–Sat: 12–11 PM | Sun: 12–10 PM,Seafood boil and shrimp restaurant in Camden with fresh seasonal seafood.,"Dine-in, Delivery, Reservations",Yes,N/A,N/A,N/A,"Unit 2, 10 Jamestown Rd, London NW1 7BY",Camden / Marylebone,Camden,NW1 7BY,NW1,51.5405994,-0.1452604,/seafood-restaurants/camden/camden-marylebone/shrimp-shack-camden/,"Shrimp, Seafood Boil, Crab, Lobster","Seafood boil, Fresh shrimp, Crab legs",N/A,N/A,N/A,Yes,No,No,Active,LOW
Etta's Kitchen,Seafood restaurant,Caribbean restaurant,+44 20 3489 9394,https://www.ettaskitchen.com/,https://maps.google.com/maps?q=Ettas+Kitchen+Brixton+London,4.6,282,££,Mon: Closed | Tue–Sun: 12–10:30 PM,Best fish joint in Brixton Village Market. Caribbean-inspired fresh fish.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"Granville Arcade, Unit 85-86 Coldharbour Ln, London SW9 8PR",Brixton,Lambeth,SW9 8PR,SW9,51.4623258,-0.111832,/seafood-restaurants/lambeth/brixton/ettas-kitchen/,"Caribbean Seafood, Fish, Grilled Fish","Fresh fish dishes, Caribbean seafood",https://www.ettaskitchen.com/,https://www.ettaskitchen.com/menus,N/A,Yes,Yes,No,Active,LOW
Fat Crab,Seafood restaurant,Crab house,+44 20 7564 0112,https://www.thefatcrab.com/,https://maps.google.com/maps?q=Fat+Crab+Lavender+Hill+London,4.2,458,£££,Mon: Closed | Tue–Fri: 4–11 PM | Sat–Sun: 1–11 PM,"Crab and seafood restaurant on Lavender Hill, Battersea.","Dine-in, Reservations",Yes,N/A,N/A,N/A,"59 Lavender Hill, London SW11 5QN",Battersea,Wandsworth,SW11 5QN,SW11,51.4659085,-0.1535417,/seafood-restaurants/wandsworth/battersea/fat-crab/,"Crab, Seafood, Shellfish","Crab dishes, Seafood",N/A,https://www.thefatcrab.com/menu/,N/A,Yes,No,No,Active,LOW
Fish Lounge,Fish & chips shop,Seafood restaurant,+44 20 8678 8755,N/A,https://maps.google.com/maps?q=Fish+Lounge+Brixton+Hill+London,4.7,342,££,Mon: Closed | Tue–Sat: 12–10 PM | Sun: Closed,Best fish and chips in South London. Brixton Hill gem.,"Dine-in, Takeaway",Yes,N/A,N/A,N/A,"99 Brixton Hill, London SW2 1AA",Brixton Hill,Lambeth,SW2 1AA,SW2,51.4547434,-0.1194444,/seafood-restaurants/lambeth/brixton-hill/fish-lounge/,"Fish & Chips, Seafood",Fish & Chips,N/A,N/A,N/A,No,No,No,Active,MEDIUM
Little Ochi Seafood Restaurant,Seafood restaurant,Caribbean restaurant,+44 20 7737 7329,https://littleochionline.com/,https://maps.google.com/maps?q=Little+Ochi+Seafood+Herne+Hill+London,4.3,210,££,Mon–Thu: 11 AM–11 PM | Fri–Sat: 11 AM–1 AM | Sun: 12–11 PM,"Caribbean seafood restaurant in Herne Hill, South London.","Dine-in, Delivery",No,N/A,N/A,N/A,"113 Dulwich Rd, London SE24 0NG",Herne Hill,Lambeth,SE24 0NG,SE24,51.4529556,-0.1038556,/seafood-restaurants/lambeth/herne-hill/little-ochi-seafood-restaurant/,"Caribbean Seafood, Fish, Grilled Fish","Caribbean fish dishes, Fresh seafood",N/A,N/A,N/A,Yes,No,No,Active,LOW
Poppies Fish & Chips – Soho,Fish & chips shop,"Seafood restaurant, British restaurant",+44 20 7734 4845,http://poppiesfishandchips.co.uk/,https://maps.google.com/maps?q=Poppies+Fish+Chips+Soho+London,4.1,8047,££,Opens 11 AM daily (see website),Authentic fish & chips with 1950s memorabilia and table service in Soho.,"Dine-in, Takeaway, Reservations",Yes,N/A,N/A,N/A,"55-59 Old Compton St, London W1D 6HW",Soho / West End,Westminster,W1D 6HW,W1,51.5125657,-0.1327136,/seafood-restaurants/westminster/soho-west-end/poppies-fish-chips-soho/,"Fish & Chips, British Seafood","Battered fish, Chips, Mushy peas",N/A,N/A,N/A,Yes,No,No,Active,LOW
Poppies Fish & Chips – Spitalfields,Fish & chips shop,"Seafood restaurant, British restaurant",+44 20 3161 1422,http://www.poppiesfishandchips.co.uk/,https://maps.google.com/maps?q=Poppies+Fish+Chips+Spitalfields+London,4.2,5831,££,Opens 11 AM daily (see website),Fish & chip restaurant with 1950s memorabilia in Spitalfields.,"Dine-in, Takeaway, Reservations",Yes,N/A,N/A,N/A,"6-8 Hanbury St, London E1 5JL",Whitechapel / Spitalfields,Tower Hamlets,E1 5JL,E1,51.5202041,-0.074035,/seafood-restaurants/tower-hamlets/whitechapel-spitalfields/poppies-fish-chips-spitalfields/,"Fish & Chips, British Seafood","Battered fish, Chips",N/A,N/A,N/A,Yes,No,No,Active,LOW
Poppies Fish & Chips – Camden,Fish & chips shop,"Seafood restaurant, British restaurant",+44 20 7267 0440,http://www.poppiesfishandchips.co.uk/,https://maps.google.com/maps?q=Poppies+Fish+Chips+Camden+London,4.2,5873,££,Opens 11 AM daily (see website),Fish & chip restaurant with vintage vibe and live music in Camden.,"Dine-in, Takeaway, Reservations, Live music",Yes,N/A,N/A,N/A,"30 Hawley Cres, London NW1 8NP",Camden / Marylebone,Camden,NW1 8NP,NW1,51.5409723,-0.143961,/seafood-restaurants/camden/camden-marylebone/poppies-fish-chips-camden/,"Fish & Chips, British Seafood","Battered fish, Chips",N/A,N/A,N/A,Yes,No,No,Active,LOW
Poppies – Portobello Road,Fish & chips shop,Seafood restaurant,+44 20 4568 7720,https://poppiesfishandchips.co.uk/poppies-portobello/,https://maps.google.com/maps?q=Poppies+Portobello+Road+London,3.6,360,££,Opens 11 AM daily (see website),"Fish & chips in Portobello Road, Notting Hill.","Dine-in, Takeaway, Reservations",Yes,N/A,N/A,N/A,"152-154 Portobello Rd, London W11 2EB",Notting Hill / Portobello,Kensington and Chelsea,W11 2EB,W11,51.5150024,-0.2043522,/seafood-restaurants/kensington-and-chelsea/notting-hill-portobello/poppies-portobello-road/,"Fish & Chips, British Seafood",Fish & Chips,N/A,N/A,N/A,Yes,No,No,Active,MEDIUM
Noisy Oyster seafood bistro,Seafood restaurant,"Oyster bar restaurant, Cocktail bar",+44 7869 333701,https://www.noisyoysterlondon.co.uk/,https://maps.google.com/maps?q=Noisy+Oyster+Shoreditch+London,4.6,622,N/A,Closed Mon | Opens 12 PM Tue–Sun,Seafood bistro and oyster bar near Shoreditch.,"Dine-in, Reservations",Yes,N/A,N/A,N/A,"2, Nicholls Clarke Yard, London E1 6SH",Whitechapel / Spitalfields,Tower Hamlets,E1 6SH,E1,51.5219485,-0.0772918,/seafood-restaurants/tower-hamlets/whitechapel-spitalfields/noisy-oyster-seafood-bistro/,"Oysters, Seafood, Shellfish","Oysters, Fresh seafood, Cocktails",N/A,https://www.noisyoysterlondon.co.uk/menu/dinner,N/A,Yes,No,No,Active,LOW
Shoreditch Fish and Chips,Fish & chips shop,Seafood restaurant,+44 20 7729 3178,http://www.shoreditchfishnchips.co.uk/,https://maps.google.com/maps?q=Shoreditch+Fish+Chips+London,4.5,1130,££,Mon–Sat: 11:30 AM–10 PM | Sun: 11:30 AM–8 PM,"Best fish and chips in East London, comfort food in a down-home Shoreditch eatery.","Dine-in, Takeaway, Delivery, Reservations",Yes,N/A,N/A,N/A,"117 Redchurch St, London E2 7DL",Bethnal Green,Tower Hamlets,E2 7DL,E2,51.5248657,-0.0719914,/seafood-restaurants/tower-hamlets/bethnal-green/shoreditch-fish-and-chips/,"Fish & Chips, Seafood","Fish & Chips, Grilled fish",https://www.shoreditchfishnchips.co.uk/reservation,https://www.shoreditchfishnchips.co.uk/order-online,N/A,Yes,Yes,No,Active,LOW
